redirect_clients,type,value
16,throughput,10.954618302757169
16,read_latency,73935.45765765765
16,update_latency,108093.75504495505
16,throughput,11.099358124119682
16,read_latency,72766.3584331236
16,update_latency,106658.56712004732
16,throughput,11.172510261950675
16,read_latency,71382.69605662285
16,update_latency,106865.52818991098
16,throughput,10.898018522272281
16,read_latency,76395.9524187153
16,update_latency,107021.52925746569
16,throughput,11.11376606633807
16,read_latency,73296.8137040715
16,update_latency,106352.55005035247
16,throughput,11.515881552248706
16,read_latency,70183.50228219885
16,update_latency,103383.23059866963
16,throughput,11.087162839378054
16,read_latency,72345.48066188197
16,update_latency,107555.98414927769
16,throughput,11.069036473582084
16,read_latency,73755.30155210644
16,update_latency,106059.28041278031
16,throughput,11.127926644707559
16,read_latency,73019.38207452165
16,update_latency,106214.109632572
16,throughput,11.742753840174075
16,read_latency,69124.29959349593
16,update_latency,100299.88346456693
16,throughput,10.99170456056814
16,read_latency,74833.89696969697
16,update_latency,106475.39247524753
16,throughput,11.054120976299965
16,read_latency,73135.02800725368
16,update_latency,107120.98590430812
16,throughput,11.071303623859102
16,read_latency,75231.59712088345
16,update_latency,105603.52343274497
16,throughput,10.884531448132487
16,read_latency,75144.09168655529
16,update_latency,108351.22304907482
16,throughput,11.061702174730648
16,read_latency,74243.33769897239
16,update_latency,105869.70260075442
16,throughput,11.259283279063588
16,read_latency,72927.6006402561
16,update_latency,104317.23770491804
16,throughput,10.846739903854498
16,read_latency,75214.57628140703
